Province,District,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bình Thuận,Tuy Phong,0.727089,1.143953,0.937761,1.359831,1.444158,1.998842,2.945109,3.17126,2.652807
Bình Thuận,Tánh Linh,0.18648,0.288834,0.306179,0.458767,0.467512,0.826691,1.015044,0.860542,0.664451
Bình Thuận,Đức Linh,0.054648,0.109297,0.196216,0.219336,0.240713,0.285744,0.380193,0.422105,0.483757
Bình Định,An Lão,0.0,0.0,0.001521,0.001157,0.00187,0.004582,0.008394,0.010221,0.013261
Bình Định,An Nhơn,0.132449,0.214795,0.37971,0.583508,0.497515,0.687821,0.927259,1.117429,1.334089
Bình Định,Hoài Nhơn,0.068157,0.112705,0.182142,0.386304,0.36599,0.472417,0.628022,0.76728,1.017678
Bình Định,Hoài Ân,0.002423,0.004742,0.009268,0.015856,0.025263,0.044463,0.063296,0.093374,0.157496
Bình Định,Phù Cát,0.037216,0.07841,0.099688,0.164472,0.119871,0.194379,0.288694,0.314869,0.433595
Bình Định,Phù Mỹ,0.124637,0.15882,0.184952,0.227938,0.175507,0.276866,0.361311,0.391733,0.476862
Bình Định,Qui Nhơn,1.238697,1.520129,1.823931,2.056845,2.101879,2.403946,2.758987,3.097146,3.524642
Bình Định,Tuy Phước,0.206351,0.283372,0.322805,0.530638,0.524064,0.726591,1.081466,1.269645,1.631296
Bình Định,Tây Sơn,0.025334,0.049497,0.05951,0.080124,0.073,0.123696,0.170391,0.189993,0.231366
Bình Định,Vân Canh,0.001555,0.003644,0.006155,0.014947,0.013517,0.02145,0.027886,0.030605,0.057244
Bình Định,Vĩnh Thạnh,0.004145,0.006117,0.012339,0.01659,0.010892,0.022183,0.032241,0.02978,0.028104
Bạc Liêu,Bạc Liêu,1.84039,1.996112,2.859294,3.083458,3.134465,3.69603,4.171385,4.624481,4.826253
Bạc Liêu,Giá Rai,0.140528,0.208505,0.307157,0.300096,0.279527,0.413918,0.50546,0.51098,0.516777
Bạc Liêu,Hoà Bình,0.138005,0.133679,0.385415,0.397635,0.34742,0.597132,0.774885,0.8403,0.790165
Bạc Liêu,Hồng Dân,0.014623,0.024219,0.025449,0.029816,0.022059,0.022232,0.036555,0.039035,0.054787
Bạc Liêu,Phước Long,0.037072,0.041918,0.075254,0.099461,0.079522,0.109562,0.133678,0.151656,0.203627
Bạc Liêu,Vĩnh Lợi,0.155405,0.194475,0.240934,0.254894,0.28134,0.443077,0.54457,0.57424,0.58928
Bạc Liêu,Đông Hải,0.062884,0.068837,0.203176,0.18277,0.117502,0.243824,0.291901,0.319366,0.343739
Bắc Giang,Bắc Giang,3.335237,3.610496,5.49759,6.525221,7.397886,7.788713,7.554012,8.708316,9.377685
Bắc Giang,Hiệp Hòa,0.111328,0.11885,0.163924,0.179154,0.26501,0.398716,0.411975,0.703853,0.723783
Bắc Giang,Lạng Giang,0.144469,0.16935,0.315739,0.509492,0.516305,0.524401,0.582059,0.823512,0.861145
Bắc Giang,Lục Nam,0.021034,0.025863,0.033525,0.051222,0.057275,0.092405,0.121888,0.171203,0.203066
Bắc Giang,Lục Ngạn,0.007298,0.008451,0.012791,0.01126,0.009702,0.017479,0.024173,0.044161,0.040693
Bắc Giang,Sơn Động,0.021182,0.022865,0.026145,0.022037,0.022038,0.025885,0.033983,0.047721,0.077967
Bắc Giang,Tân Yên,0.053824,0.062913,0.066158,0.095945,0.089911,0.156364,0.183846,0.260428,0.266053
Bắc Giang,Việt Yên,0.544232,0.58412,0.77781,0.923186,1.358179,1.672987,1.975333,2.450491,2.978026
Bắc Giang,Yên Dũng,0.112334,0.17399,0.212986,0.284733,0.366284,0.59925,0.704872,0.992025,1.351657
Bắc Giang,Yên Thế,0.039357,0.037296,0.048016,0.04144,0.053369,0.067448,0.090273,0.105259,0.086065
Bắc Kạn,Ba Bể,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bắc Kạn,Bạch Thông,0.000298,0.001112,0.001647,0.005668,0.006285,0.008162,0.005745,0.014619,0.004367
Bắc Kạn,Chợ Mới,0.009996,0.012983,0.013459,0.0171,0.021648,0.017385,0.011203,0.011415,0.011623
Bắc Kạn,Chợ Đồn,0.003201,0.001889,0.003801,0.004465,0.008856,0.013321,0.012525,0.015351,0.005222
Bắc Kạn,Na Rì,0.004548,0.002426,0.002636,0.003081,0.005835,0.006085,0.004443,0.006683,0.008078
Bắc Kạn,Ngân Sơn,0.00122,0.002683,0.0021,0.001977,0.002467,0.003016,0.002984,0.003937,0.002964
Bắc Kạn,Pác Nặm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001893
Bắc Kạn,Thành Phố Bắc Kạn,0.289601,0.395858,0.487692,0.631874,0.773402,0.617698,0.495367,0.536313,0.53492
Bắc Ninh,Bắc Ninh,4.691774,5.276098,7.161927,7.252475,9.10159,10.12354,10.507383,11.297137,10.601559
Bắc Ninh,Gia Bình,0.115544,0.176397,0.268414,0.233723,0.314566,0.465183,0.597919,0.716762,1.178166
Bắc Ninh,Lương Tài,0.124932,0.14328,0.180698,0.199811,0.29065,0.437778,0.619154,0.816962,1.243876
Bắc Ninh,Quế Võ,0.607044,0.734169,1.073751,1.130379,1.286987,1.639806,2.003511,2.1719,2.573325
Bắc Ninh,Thuận Thành,0.514082,0.72133,0.758172,0.924483,1.219063,1.60243,1.951609,2.312847,2.724444
Bắc Ninh,Tiên Du,1.76133,2.416802,2.892241,3.313494,3.509797,4.249835,4.589333,5.537448,5.521775
